strategy_name,candidate_diversity,reward_diversity,constraint_violation,sampling_time_sec,candidate_count_G
Diffusion,0.5451567905282725,0.010872359112481881,4.440892098500626e-16,0.01625558313519981,128
Gaussian Policy,0.20454126434772604,0.004091400815347491,4.440892098500626e-16,0.0006122158582768,128
MLP Policy,1.5767328246148474e-16,5.926265770985333e-18,2.220446049250313e-16,0.0005787434171934,128
SS-FM,0.21266415159490404,0.004189924937877518,4.440892098500626e-16,0.016320293308780584,128
SS-FM + GRPO,0.09251172453307474,0.0018107418827057547,3.3306690738754696e-16,0.00041569212526353636,128
SS-FM + PPO,0.09307997142490322,0.0018499394166034818,4.440892098500626e-16,0.00042037935858284546,128
SS-FM G=128,0.21706214265946275,0.004410600556433773,4.440892098500626e-16,0.016582847682109284,128
SS-FM G=16,0.21192079698939337,0.0041724791188628456,3.3306690738754696e-16,0.015730262381222635,16
SS-FM G=32,0.2152387417135783,0.004230390573920073,3.3306690738754696e-16,0.015746337662902735,32
SS-FM G=64,0.21657750392604672,0.004376761345583309,4.440892098500626e-16,0.016481869532132855,64
SS-FM G=8,0.20369500622156334,0.0038336385987321545,3.3306690738754696e-16,0.0159782677385495,8
Standard FM,0.2065323894701489,0.004143960693223818,4.440892098500626e-16,0.0033412335617687907,128
