model,cumulative_return,total_net_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,average_daily_return,mean_turnover,mean_cost,total_transaction_cost,candidate_feasibility,n_days,test_month
Diffusion,0.16946309681330285,0.16946309681330285,6.188365912244066,0.2418009706240083,8.157386087093425,34.48719370633356,0.03417679704379717,181.06921793501442,0.5,0.007827237593706234,0.8492675332493856,0.0002547802599747738,0.005095605199495475,1.0,20,2025-06
SS-FM,0.09266758015954446,0.09266758015954446,2.054566086636383,0.2154089179299913,5.183803713569853,27.650551241212476,0.02489770007888037,82.52031633954742,0.7,0.004431101383736319,0.6121637018639207,0.00018364911055913,0.0036729822111826,1.0,20,2025-06
SS-FM G=64,0.0849908939015751,0.0849908939015751,1.7949160976342884,0.21838652402469808,4.7063439102348585,8.874590665959365,0.03648872093835276,49.19098426789957,0.7,0.00407857971198808,0.5914518732350502,0.00017743556197047,0.0035487112394094003,1.0,20,2025-06
Black-Litterman,0.0738995520785517,0.0738995520785517,1.4555123997701958,0.12366262043339543,7.264405793201469,35.65176031107883,0.00962281724124503,151.25636944777693,0.75,0.003564823239201715,0.3054985059152466,9.164955177455995e-05,0.001832991035491199,1.0,20,2025-06
Equal Weight,0.06583743458989555,0.06583743458989555,1.2330899473521049,0.13483779034987084,5.958168336250814,14.056401868875046,0.011122978382443027,110.85969107864719,0.65,0.0031880406864786747,0.23022988505747125,6.906896551724136e-05,0.0013813793103448274,1.0,20,2025-06
Risk Parity,0.06407665584208,0.06407665584208,1.1870501216782459,0.1320388112848513,5.926694218333975,14.131822352827697,0.010592596565307977,112.06413029700171,0.65,0.0031053716644349957,0.23599163376390192,7.079749012916454e-05,0.001415949802583291,1.0,20,2025-06
Gaussian Policy,0.060345862571193676,0.060345862571193676,1.0923728740570282,0.17797878394418673,4.148240324131328,5.737959846176059,0.02230959766018603,48.964257029452824,0.6,0.0029297570174489397,0.6085510296524921,0.0001825653088957,0.003651306177914,1.0,20,2025-06
MLP Policy,0.05792003014355607,0.05792003014355607,1.0328521018251422,0.13754863771445364,5.1577376196145,12.244284855566217,0.011680605755212459,88.42453238045749,0.65,0.0028152372351847752,0.31849832346942303,9.554949704081651e-05,0.00191098994081633,1.0,20,2025-06
Standard FM,0.0572334806627357,0.0572334806627357,1.0162920638179167,0.1870006624443924,3.7500413285976366,6.42565042342426,0.03453242285975744,29.4300827933582,0.6,0.00278277862159368,0.6155866236186608,0.000184675987085545,0.0036935197417109,1.0,20,2025-06
Kelly,0.05667699970902951,0.05667699970902951,1.002960595559835,0.1259648671738684,5.514445411357188,13.701788286604017,0.013503717503238089,74.27292486823224,0.7,0.0027564539038855405,0.25061954632438527,7.518586389730736e-05,0.0015037172779461471,1.0,20,2025-06
MVO,0.05667699970902951,0.05667699970902951,1.002960595559835,0.1259648671738684,5.514445411357188,13.701788286604017,0.013503717503238089,74.27292486823224,0.7,0.0027564539038855405,0.25061954632438527,7.518586389730736e-05,0.0015037172779461471,1.0,20,2025-06
Maximum Sharpe,0.05506301415844961,0.05506301415844961,0.9647523895541337,0.12218345304713839,5.527477003908797,13.309339764708906,0.011583853610760197,83.28423527883491,0.7,0.002680024710223125,0.28147921572740536,8.444376471820025e-05,0.001688875294364005,1.0,20,2025-06
SS-FM + GRPO,0.052262621146700106,0.052262621146700106,0.9000464062721385,0.13332411810866213,4.814420071428774,7.715857502557801,0.014599447079699845,61.6493488663437,0.7,0.00254713615169795,0.4384880633728091,0.000131546419011795,0.0026309283802359,1.0,20,2025-06
SS-FM + PPO,0.04502941571805352,0.04502941571805352,0.7418842486193509,0.1544401054434686,3.5934152416133354,5.9238269958731555,0.0171802325275906,43.182433498960016,0.6,0.002202251701654487,0.4468063333709759,0.000134041900011245,0.0026808380002249,1.0,20,2025-06
SS-FM G=128,0.043124761349189855,0.043124761349189855,0.7023027814664515,0.21501992934866804,2.4741051371127334,6.427552572188691,0.030203735341178484,23.252183000986697,0.6,0.0021110393324728434,0.5836715157106422,0.00017510145471315,0.0035020290942629996,1.0,20,2025-06
SS-FM G=32,0.02174526791257514,0.02174526791257514,0.31134571383646437,0.17598625802640178,1.5401990783277753,2.6650319153222544,0.022212319840505423,14.016803110709212,0.6,0.0010756106048040398,0.5899904160353615,0.000176997124810565,0.0035399424962113003,1.0,20,2025-06
SS-FM G=8,0.018250596645399852,0.018250596645399852,0.25593997220654985,0.1641172901070845,1.3885451918321423,2.7681856729994156,0.03298314563541971,7.759719919852121,0.55,0.0009043026748996548,0.6099385237375284,0.00018298155712121,0.0036596311424242,1.0,20,2025-06
SS-FM G=16,0.003164395566754852,0.003164395566754852,0.04061140776395056,0.1877245018989472,0.21205773402228606,0.3406004820863028,0.026749837628229467,1.5181926831994221,0.5,0.0001579699702109249,0.5860534977206511,0.00017581604931615,0.003516320986323,1.0,20,2025-06
Diffusion,0.15892267107585445,0.15892267107585445,4.416449629675741,0.3201423668316529,5.277153935160716,6.523864075422541,0.04457941121256648,99.06926784243372,0.7272727272727273,0.0067041291703862005,0.8792367385403523,0.00026377102156206007,0.005802962474365321,1.0,22,2025-07
SS-FM G=32,0.07747068975352689,0.07747068975352689,1.3506602928659985,0.29024112187930046,2.9447800464776526,6.714742793605378,0.04108100152366678,32.877978695039424,0.5,0.003391651842767668,0.7335520346938057,0.00022006561040807725,0.0048414434289777,1.0,22,2025-07
SS-FM G=64,0.06712240960196181,0.06712240960196181,1.1046568482339492,0.2282316777630536,3.260513368140174,6.558745418351043,0.018097505836188077,61.03917623969259,0.6818181818181818,0.002952985858648796,0.6952960471136757,0.00020858881413406366,0.004588953910949401,1.0,22,2025-07
SS-FM,0.05475842931352659,0.05475842931352659,0.8416502067627194,0.2876594566314758,2.1228644048149214,5.7484086729031825,0.036945312136410835,22.780974312929004,0.5454545454545454,0.002423261988854609,0.7689270441490783,0.0002306781132446682,0.0050749184913827005,1.0,22,2025-07
SS-FM G=128,0.026054974720648882,0.026054974720648882,0.34262426871403373,0.29217017350851043,1.0084058366708322,3.197902734851761,0.07835478748714864,4.372729219260907,0.5,0.0011691512232821892,0.7310913511923182,0.00021932740535763638,0.004825202917868,1.0,22,2025-07
SS-FM G=8,0.01568420219373423,0.01568420219373423,0.19513732050390087,0.2289549391831766,0.7785859172685483,1.589512228775485,0.030188997605100965,6.463855576010546,0.5454545454545454,0.0007073852830837232,0.6609128103042541,0.00019827384309123634,0.0043620245480071995,1.0,22,2025-07
Black-Litterman,0.007526378562564773,0.007526378562564773,0.08968475066561865,0.12259414692675613,0.7005916431515458,1.3266720962642125,0.025835795690098973,3.47133689015773,0.45454545454545453,0.00034082712236578605,0.2432909315220823,7.298727945661999e-05,0.0016057201480456397,1.0,22,2025-07
MLP Policy,-0.0069453928744099835,-0.0069453928744099835,-0.07673029209484983,0.11932016314678465,-0.669072830137866,-1.129317848241225,0.030264620247721696,-2.5353132293350367,0.5,-0.0003168011081314726,0.2850017315468674,8.550051946405173e-05,0.0018810114282091382,1.0,22,2025-07
MVO,-0.008563817495908843,-0.008563817495908843,-0.0938197874469977,0.12447490538619659,-0.7914613978684173,-1.4235044466407645,0.03312254311396212,-2.832505557444649,0.5,-0.0003909408040337227,0.2612602103598612,7.837806310795461e-05,0.0017243173883750014,1.0,22,2025-07
Kelly,-0.008563817495908843,-0.008563817495908843,-0.0938197874469977,0.12447490538619659,-0.7914613978684173,-1.4235044466407645,0.03312254311396212,-2.832505557444649,0.5,-0.0003909408040337227,0.2612602103598612,7.837806310795461e-05,0.0017243173883750014,1.0,22,2025-07
Maximum Sharpe,-0.01130563596997547,-0.01130563596997547,-0.12211399703677461,0.12350543515520272,-1.0545165950361457,-1.8802715236312004,0.03579644438994034,-3.411344314160196,0.5,-0.0005168195672552454,0.27273545165151086,8.182063549544773e-05,0.0018000539808998499,1.0,22,2025-07
Equal Weight,-0.011473595711459006,-0.011473595711459006,-0.12382076114193041,0.11789547467449656,-1.121201630274751,-1.9000663900533952,0.031212758642344185,-3.966991913811533,0.5,-0.0005245420571708774,0.2005224660397074,6.0156739811912216e-05,0.0013234482758620687,1.0,22,2025-07
Risk Parity,-0.011965640569950864,-0.011965640569950864,-0.12880337867168334,0.11701033154870458,-1.1784223130328215,-1.985116992152016,0.031646108659619254,-4.07011743709386,0.5,-0.0005471729585411182,0.203933671226761,6.11801013680283e-05,0.0013459622300966228,1.0,22,2025-07
Gaussian Policy,-0.01610668831241535,-0.01610668831241535,-0.16972370074588095,0.16246018660817066,-1.1448758419087708,-1.5187247834847935,0.02387712331120928,-7.108213939080466,0.6363636363636364,-0.0007380823131733547,0.6035344418284732,0.00018106033254849547,0.0039833273160669,1.0,22,2025-07
