model,cumulative_return,total_net_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,average_daily_return,mean_turnover,mean_cost,total_transaction_cost,candidate_feasibility,n_days
SS-FM G=128,0.14233119127122418,0.14233119127122418,0.1569643289026308,0.2311265159910242,0.6308216797652074,0.947687927180903,0.12025444914454952,1.3052683706858519,0.5260869565217391,0.0005785699089513411,0.6570211867608835,0.0001971063560282157,0.04533446188648961,1.0,230
Diffusion,0.10678901852887557,0.10678901852887557,0.11758287751939056,0.384587987449132,0.28905793137556274,0.4044276176160591,0.2966190747628511,0.39641037115835803,0.5478260869565217,0.0004411436828727657,0.7538781741156356,0.0002261634522346513,0.0520175940139698,1.0,230
Gaussian Policy,0.10588824383091033,0.10588824383091033,0.11658635556192043,0.21787475694001707,0.5061446114224242,0.6794979851027318,0.1269183355252066,0.9185934804413333,0.5173913043478261,0.00043760370710380965,0.6440508188829944,0.00019321524566485,0.044439506502915505,1.0,230
Black-Litterman,0.060223256956954074,0.060223256956954074,0.06617043698916536,0.15475481812235484,0.41403038914131746,0.543291105781105,0.11938625693362181,0.5542550599099175,0.5217391304347826,0.00025425872051068404,0.34405798975796537,0.00010321739692736828,0.023740001293294705,1.0,230
SS-FM G=16,0.04430543750863247,0.04430543750863247,0.04864486458365547,0.199246002065232,0.23839236406538117,0.30927877270268117,0.13072843146225976,0.3721062361074748,0.5130434782608696,0.0001884870058051844,0.649584144162567,0.00019487524324872437,0.044821305947206604,1.0,230
Maximum Sharpe,0.03426103357065635,0.03426103357065635,0.03759905978279687,0.15005504027221103,0.2459727297838222,0.32871480164644634,0.1245389719987181,0.3019059751286841,0.5173913043478261,0.00014646606299038539,0.3522977877093299,0.00010568933631277424,0.024308547351938076,1.0,230
MVO,0.02479956214722079,0.02479956214722079,0.027203683479883667,0.1515737125394243,0.1770771424656061,0.23786839909121993,0.12675263061389896,0.2146202674305733,0.508695652173913,0.00010650888844993834,0.3339061701158601,0.00010017185103473632,0.023039525737989355,1.0,230
Kelly,0.02479956214722079,0.02479956214722079,0.027203683479883667,0.1515737125394243,0.1770771424656061,0.23786839909121993,0.12675263061389896,0.2146202674305733,0.508695652173913,0.00010650888844993834,0.3339061701158601,0.00010017185103473632,0.023039525737989355,1.0,230
MLP Policy,0.02173447219620317,0.02173447219620317,0.023838014637975524,0.15746272577318737,0.14961207586343475,0.19857764094551975,0.12391469376412179,0.19237439817550978,0.508695652173913,9.348541775413226e-05,0.3448895427077342,0.00010346686281229745,0.023797378446828416,1.0,230
Equal Weight,0.020846226564648296,0.020846226564648296,0.02286284330155408,0.15731854112522492,0.1436919310349828,0.19082686750883487,0.12562926106851857,0.18198660970460231,0.5043478260869565,8.970398794400761e-05,0.2933702196520787,8.801106589560899e-05,0.02024254515599007,1.0,230
Risk Parity,0.017604650835783442,0.017604650835783442,0.019304728726638798,0.1547356417276429,0.12357047257018401,0.16341740661773418,0.12558143693406476,0.1537227889562575,0.508695652173913,7.587601734815681e-05,0.30039710942136644,9.011913282639385e-05,0.020727400550070586,1.0,230
SS-FM G=64,0.015176557654658085,0.015176557654658085,0.016640242921710513,0.22196096495921655,0.07435231256844159,0.11092855358727674,0.21262050326378779,0.07826264478861562,0.5043478260869565,6.548932954222452e-05,0.663308006538462,0.00019899240196149002,0.0457682524511427,1.0,230
SS-FM + PPO,-0.005601857953047573,-0.005601857953047573,-0.006136040681651744,0.16597778662301865,-0.03708293543369725,-0.051082510234129824,0.12443462984400733,-0.04931135881823215,0.4956521739130435,-2.4424379145910233e-05,0.47497430316048045,0.00014249229094809708,0.03277322691806233,1.0,230
SS-FM + GRPO,-0.019460331168976053,-0.019460331168976053,-0.0213017922446046,0.16253702560202554,-0.13247412226550728,-0.17086081070950646,0.11682023328980817,-0.18234677028729276,0.5043478260869565,-8.54442452471215e-05,0.46826217916450186,0.00014047865374930472,0.03231009036234009,1.0,230
SS-FM,-0.05364969608536729,-0.05364969608536729,-0.05862807802958325,0.2244164707663676,-0.2692181018459695,-0.37379529204527034,0.2393487461021302,-0.24494833996149964,0.5217391304347826,-0.00023974990588370232,0.6604551612498926,0.0001981365483749161,0.0455714061262307,1.0,230
SS-FM G=32,-0.07574008425331036,-0.07574008425331036,-0.08267706568904043,0.2166500847080192,-0.39831835247673447,-0.5596754677363468,0.20450405908391134,-0.40428080527788784,0.508695652173913,-0.0003424432730350919,0.6541743510028072,0.00019625230530079016,0.04513803021918174,1.0,230
Standard FM,-0.08011776671732507,-0.08011776671732507,-0.08743640385988938,0.210337634847115,-0.4350029970642984,-0.5906749847878273,0.18019380924179884,-0.4852353375945343,0.49130434782608695,-0.00036308532362663105,0.6461932602850193,0.00019385797808545786,0.044587334959655306,1.0,230
SS-FM G=8,-0.08532263646440641,-0.08532263646440641,-0.09309222593248989,0.1898546533669959,-0.5146806501675159,-0.6711130333286268,0.2076648231088588,-0.44828115103389726,0.4826086956521739,-0.00038775601758830864,0.6455654950391809,0.00019366964851170695,0.0445440191576926,1.0,230
